"KeyCode","KeyDown","KeyUp"
16, 1460212069882, 1460212070191
68, 1460212070132, 1460212070219
65, 1460212070331, 1460212070436
89, 1460212070458, 1460212070577
88, 1460212070571, 1460212070667
32, 1460212070752, 1460212070856
78, 1460212071123, 1460212071215
85, 1460212071349, 1460212071501
73, 1460212071450, 1460212071586
83, 1460212071559, 1460212071622
32, 1460212071682, 1460212071802
16, 1460212071828, 1460212072018
84, 1460212072010, 1460212072039
72, 1460212072054, 1460212072133
65, 1460212072148, 1460212072265
78, 1460212072254, 1460212072337
72, 1460212072450, 1460212072638
32, 1460212072551, 1460212072682
16, 1460212072606, 1460212072806
86, 1460212072782, 1460212072862
65, 1460212072947, 1460212073031
65, 1460212073127, 1460212073208
78, 1460212073142, 1460212073278
32, 1460212073241, 1460212073333
78, 1460212073412, 1460212073520
71, 1460212073550, 1460212073632
85, 1460212073682, 1460212073836
89, 1460212073799, 1460212073975
32, 1460212073933, 1460212074066
78, 1460212074275, 1460212074374
71, 1460212074398, 1460212074522
65, 1460212074493, 1460212074626
32, 1460212074712, 1460212074828
83, 1460212074916, 1460212074990
87, 1460212075120, 1460212075210
78, 1460212075225, 1460212075328
71, 1460212075343, 1460212075420
70, 1460212075534, 1460212075631
8, 1460212077584, 1460212077722
8, 1460212077805, 1460212077887
8, 1460212078014, 1460212078091
8, 1460212078212, 1460212078304
85, 1460212080041, 1460212080133
87, 1460212080145, 1460212080237
78, 1460212080287, 1460212080420
71, 1460212080451, 1460212080509
70, 1460212080646, 1460212080744
32, 1460212080843, 1460212080962
83, 1460212081002, 1460212081110
85, 1460212081818, 1460212081901
87, 1460212081893, 1460212081972
78, 1460212082012, 1460212082145
88, 1460212082130, 1460212082258
71, 1460212082536, 1460212082636
188, 1460212084492, 1460212084645
32, 1460212084613, 1460212084714
72, 1460212084845, 1460212084961
85, 1460212084930, 1460212085093
78, 1460212085074, 1460212085214
71, 1460212085179, 1460212085253
70, 1460212085368, 1460212085434
32, 1460212085490, 1460212085627
67, 1460212085618, 1460212085719
85, 1460212086059, 1460212086235
87, 1460212086298, 1460212086371
83, 1460212086472, 1460212086581
32, 1460212087670, 1460212087795
16, 1460212087863, 1460212088229
84, 1460212088115, 1460212088217
82, 1460212088353, 1460212088444
85, 1460212088506, 1460212088645
78, 1460212088597, 1460212088740
71, 1460212088717, 1460212088787
32, 1460212088844, 1460212088929
16, 1460212088912, 1460212089062
78, 1460212089014, 1460212089122
71, 1460212089162, 1460212089257
85, 1460212089278, 1460212089475
89, 1460212089437, 1460212089557
69, 1460212089593, 1460212089648
69, 1460212089751, 1460212089820
78, 1460212089814, 1460212089937
188, 1460212090176, 1460212090343
32, 1460212090356, 1460212090446
80, 1460212090560, 1460212090666
72, 1460212090789, 1460212090932
73, 1460212090944, 1460212091124
65, 1460212091139, 1460212091265
83, 1460212091233, 1460212091346
32, 1460212091460, 1460212091566
66, 1460212091710, 1460212091851
65, 1460212091818, 1460212091932
87, 1460212091903, 1460212092005
67, 1460212092238, 1460212092374
83, 1460212092338, 1460212092468
32, 1460212092559, 1460212092655
67, 1460212092646, 1460212092730
79, 1460212092773, 1460212092878
83, 1460212092839, 1460212092934
32, 1460212092983, 1460212093106
77, 1460212093534, 1460212093630
79, 1460212093738, 1460212093811
79, 1460212093899, 1460212094012
74, 1460212093957, 1460212094103
84, 1460212094088, 1460212094136
32, 1460212094184, 1460212094301
68, 1460212094320, 1460212094422
79, 1460212094399, 1460212094519
78, 1460212094467, 1460212094602
71, 1460212094546, 1460212094635
70, 1460212094751, 1460212094828
32, 1460212094884, 1460212094986
83, 1460212095121, 1460212095195
